-302560,223587  2003,10772939
405123,011243  2004,09212702
1439725,13173  2004,92257792
2152536,50594  2006,0300509
4192253,94546  2006,98326945
8235791,84882  2008,02817913
17943359,7005  2009,00980757
24317636,9534  2009,99246164
38026435,5585  2011,00362816
48735272,6247  2012,01571775
53110857,5531  2013,02975603
75483647,6455  2013,97671825
82525865,053  2014,98993603
91233445,7251  2015,97187216
105275573,39  2016,98293612
